Current,Volt,Power,Type
0.1395618,5.000193,0.697835935,0
0.1395554,5.000202,0.69780519,0
0.1395597,5.000196,0.697825854,0
0.1395582,5.000199,0.697818772,0
0.1395574,5.000198,0.697814632,0
0.1395646,5.000194,0.697850076,0
0.1395769,5.000206,0.697913253,0
0.1395897,5.000199,0.697976278,0
0.1395798,5.000198,0.697926637,0
0.1395749,5.000194,0.697901578,0
0.1395647,5.000199,0.697851273,0
0.1395736,5.000185,0.697893821,0
0.1395814,5.000198,0.697934637,0
0.1395925,5.000189,0.697988883,0
0.1395932,5.000196,0.69799336,0
0.1395826,5.000186,0.697938962,0
0.1395688,5.000203,0.697872332,0
0.1395674,5.000189,0.697863378,0
0.139561,5.000196,0.697832354,0
0.1395734,5.000201,0.697895054,0
0.1395721,5.000204,0.697888973,0
0.1395779,5.000193,0.697916439,0
0.1395819,5.000208,0.697938533,0
0.1395789,5.000192,0.697921299,0
0.1395767,5.000181,0.697908763,0
0.1395587,5.000196,0.697820854,0
0.1395719,5.000207,0.697888391,0
0.1395771,5.000198,0.697913136,0
0.1395905,5.000212,0.697982093,0
0.1395937,5.000201,0.697996558,0
0.1395783,5.000199,0.697919276,0
0.1395805,5.000204,0.697930974,0
